TRANSACTION_ID;CONTAINER_ID;RECORDED_AT;NEXT_RECORDED_AT;INTERVAL;LEVEL_DIFF
59770;1001101101100541211;2024-10-02 08:26:28;2024-10-02 14:42:33;0 days 06:16:05;-20.0
59769;1001101101100541111;2024-10-02 08:26:36;2024-10-02 14:42:40;0 days 06:16:04;-40.0
59772;1002101101010951311;2024-10-02 08:31:17;2024-10-02 10:48:39;0 days 02:17:22;-90.0
59774;1001101101100441211;2024-10-02 08:39:25;2024-10-02 14:35:44;0 days 05:56:19;-20.0
59773;1001101101100441111;2024-10-02 08:39:36;2024-10-02 14:35:52;0 days 05:56:16;-60.0
59775;1001101101100441311;2024-10-02 08:39:53;2024-10-02 14:36:01;0 days 05:56:08;-10.0
59780;1002101101011291311;2024-10-02 08:47:30;2024-10-02 12:27:43;0 days 03:40:13;-10.0
59782;1002101101010151311;2024-10-02 08:56:06;2024-10-02 12:33:53;0 days 03:37:47;-70.0
59787;1001101101100131211;2024-10-02 09:06:57;2024-10-02 13:53:57;0 days 04:47:00;-10.0
59786;1001101101100131111;2024-10-02 09:07:07;2024-10-02 13:54:06;0 days 04:46:59;-40.0
59788;1001101101100131311;2024-10-02 09:07:19;2024-10-02 13:54:16;0 days 04:46:57;20.0
59795;1001101101100111311;2024-10-02 09:20:08;2024-10-02 14:01:22;0 days 04:41:14;20.0
59793;1001101101100111111;2024-10-02 09:20:17;2024-10-02 14:01:33;0 days 04:41:16;-60.0
59794;1001101101100111211;2024-10-02 09:20:25;2024-10-02 14:01:39;0 days 04:41:14;-30.0
